"Area Name-Legal/Statistical Area Description","Qualifying Name","Area (Land)","Area (Water)","Summary Level","Geographic Component","Region","Division","FIPS","State (FIPS)","County","Total Population","Total Population","Population Density (per sq. mile)","Area (Land)","Total Population","Total Population: Male","Total Population: Female","Total Population","Total Population: Under 5 years","Total Population: 5 to 9 years","Total Population: 10 to 14 years","Total Population: 15 to 17 years","Total Population: 18 to 24 years","Total Population: 25 to 34 years","Total Population: 35 to 44 years","Total Population: 45 to 54 years","Total Population: 55 to 64 years","Total Population: 65 and 74 years","Total Population: 75 to 84 years","Total Population: 85 years and over","Total population","Total population: White alone","Total population: Black or African American alone","Total population: American Indian and Alaska Native alone","Total population: Asian alone","Total population: Native Hawaiian and Other Pacific Islander alone","Total population: Some Other Race alone","Total population: Two or More Races"
Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008
"Lane County","Lane County, Oregon","11792524334","437051225","050","00","4","9","41039","41","039",351715,351715,77.24704,4553.11927622831,351715,173044,178671,351715,18381,18776,20132,12400,44248,46026,40747,48150,50074,28358,16497,7926,351715,310685,3369,4070,8322,769,9837,14663
"Lincoln County","Lincoln County, Oregon","2537580591","554304210","050","00","4","9","41041","41","041",46034,46034,46.98472,979.765367252667,46034,22402,23632,46034,2247,2106,2162,1438,3077,4614,4563,6949,8906,5813,3042,1117,46034,40393,193,1590,492,59,1586,1721
"Linn County","Linn County, Oregon","5931407318","48773626","050","00","4","9","41043","41","043",116672,116672,50.94559,2290.12928245227,116672,57578,59094,116672,7680,7671,8078,4744,9891,14341,14148,16347,15781,9948,5583,2460,116672,105669,534,1488,1111,162,3888,3820
"Malheur County","Malheur County, Oregon","25608588996","109215531","050","00","4","9","41045","41","045",31313,31313,3.166918,9887.53203180864,31313,16926,14387,31313,2311,2202,2177,1314,3083,4146,3815,3999,3572,2490,1477,727,31313,24272,370,364,527,30,4849,901
"Marion County","Marion County, Oregon","3062209653","26362209","050","00","4","9","41047","41","047",315335,315335,266.7074,1182.32576212708,315335,157117,158218,315335,23580,22951,22865,13985,30836,42994,39503,41151,36921,21380,12949,6220,315335,246656,3371,4959,5995,2329,39819,12206
"Morrow County","Morrow County, Oregon","5261843781","43778396","050","00","4","9","41049","41","049",11173,11173,5.499581,2031.60940050687,11173,5749,5424,11173,794,853,963,580,889,1278,1392,1557,1446,847,435,139,11173,8680,55,139,104,14,1892,289
"Multnomah County","Multnomah County, Oregon","1117054236","88853180","050","00","4","9","41051","41","051",735334,735334,1704.936,431.297059291394,735334,363645,371689,735334,46298,42050,39077,23258,71594,136118,112550,99199,87767,41016,23865,12542,735334,562421,41401,7825,47950,4029,37865,33843
"Polk County","Polk County, Oregon","1918629058","8099319","050","00","4","9","41053","41","053",75403,75403,101.7877,740.786876232631,75403,36689,38714,75403,4887,4907,5322,3217,8850,8795,8723,9777,9773,5879,3635,1638,75403,64808,424,1616,1435,210,4041,2869
"Sherman County","Sherman County, Oregon","2133357976","19403364","050","00","4","9","41055","41","055",1765,1765,2.142786,823.694145301059,1765,896,869,1765,93,94,99,63,112,177,163,315,265,203,136,45,1765,1648,4,29,3,1,48,32
"Tillamook County","Tillamook County, Oregon","2855668955","596172498","050","00","4","9","41057","41","057",25250,25250,22.90083,1102.58000886491,25250,12740,12510,25250,1361,1355,1363,926,1663,2480,2701,3689,4439,3044,1691,538,25250,23102,85,260,227,59,904,613
"Umatilla County","Umatilla County, Oregon","8328130471","41173770","050","00","4","9","41059","41","059",75889,75889,23.60093,3215.50932282312,75889,39528,36361,75889,5645,5599,5554,3402,7050,10024,9634,10148,9176,5246,3086,1325,75889,59995,638,2662,664,101,9485,2344
"Union County","Union County, Oregon","5274784008","4995881","050","00","4","9","41061","41","061",25748,25748,12.6426,2036.60567384868,25748,12678,13070,25748,1630,1619,1540,1008,2849,2963,2580,3498,3753,2261,1372,675,25748,23968,132,289,209,227,333,590
"Wallowa County","Wallowa County, Oregon","8148590560","14199323","050","00","4","9","41063","41","063",7008,7008,2.227457,3146.18855068054,7008,3439,3569,7008,371,384,354,210,381,638,622,1090,1332,882,515,229,7008,6731,26,45,24,7,37,138
"Wasco County","Wasco County, Oregon","6168106312","35946723","050","00","4","9","41065","41","065",25213,25213,10.58694,2381.51933368031,25213,12506,12707,25213,1633,1589,1598,1028,2004,2867,2795,3493,3756,2264,1399,787,25213,21700,106,1117,192,145,1311,642
"Washington County","Washington County, Oregon","1875746999","5672547","050","00","4","9","41067","41","067",529710,529710,731.4113,724.229974810694,529710,260524,269186,529710,38248,38296,37286,22008,43800,83025,81070,74602,58266,28725,16069,8315,529710,405642,9616,3937,45755,2433,39797,22530
"Wheeler County","Wheeler County, Oregon","4441179416","1242192","050","00","4","9","41069","41","069",1441,1441,0.8403562,1714.74912161755,1441,718,723,1441,69,59,78,53,69,121,118,200,254,238,138,44,1441,1332,0,18,8,2,37,44
"Yamhill County","Yamhill County, Oregon","1854068926","6429807","050","00","4","9","41071","41","071",99193,99193,138.5648,715.86002097307,99193,49787,49406,99193,6449,6808,7149,4423,10296,12227,12789,13810,11976,6957,4219,2090,99193,84758,872,1520,1474,172,7137,3260
